source,target,weight
1,Scarborough,4
1,Cornwall,2
1,Strand,1
1,Atlantic,1
2,Scarborough,7
2,Sheffield,2
2,Cambridge,2
2,Crimea,1
2,Piccadilly,1
2,Bridge,1
2,Oxford,1
3,Cambridge,8
3,Mudie,1
3,Persia,1
3,Falmouth,1
3,London,1
3,Bridge,1
3,Turkey,1
4,Italy,1
4,Greece,1
4,Spain,1
4,Cornwall,1
4,America,1
4,Atlantic,1
4,Falmouth,1
4,London,1
5,London,4
5,Bank,2
5,England,2
5,Leeds,2
5,Mudie,1
5,Oxford,1
5,Holborn,1
5,Acton,1
5,Holloway,1
5,Cambridge,1
6,London,5
6,Greece,1
6,Gibraltar,1
6,Athens,1
6,US,1
6,Tube,1
7,Temple,2
7,Clerkenwell,1
7,Farquhars,1
7,Banchorie,1
7,London,1
7,America,1
8,London,4
8,Ireland,3
8,Scarborough,2
8,Holborn,2
8,India,1
8,Albany,1
8,England,1
9,Bridge,4
9,Strand,3
9,Putney,2
9,Holborn,2
9,Piccadilly,2
9,Walworth,1
9,London,1
9,Lincoln,1
9,Mudie,1
9,Yorkshire,1
9,England,1
9,Britannia,1
9,Rome,1
9,Greece,1
9,China,1
9,India,1
9,Persia,1
9,Highgate,1
9,Paris,1
9,Surbiton,1
9,Temple,1
10,Holborn,2
10,Paris,2
10,Greece,2
10,Temple,1
10,Ireland,1
10,London,1
11,Paris,3
11,Scarborough,2
11,Devonshire,2
11,Gibraltar,1
11,England,1
11,Italy,1
12,Greece,12
12,Athens,11
12,Parthenon,11
12,England,7
12,London,5
12,Italy,4
12,Erechtheum,4
12,Marathon,3
12,Williamses,3
12,Milan,2
12,Rome,2
12,Patras,2
12,Lincoln,2
12,Temple,2
12,Bedford,2
12,Coliseum,1
12,Piccadilly,1
12,Cornwall,1
12,France,1
12,India,1
12,Ireland,1
12,America,1
12,Serpentine,1
12,Mycenae,1
12,Germany,1
12,Delphi,1
12,Albania,1
12,Turkey,1
12,Paris,1
12,Eastern,1
12,Surbiton,1
12,Bank,1
12,Bridge,1
13,Parthenon,4
13,England,4
13,Greece,3
13,Piccadilly,3
13,Serpentine,2
13,Strand,2
13,Albany,1
13,London,1
13,Morocco,1
13,Venezuela,1
13,Rome,1
13,Milan,1
13,Vienna,1
13,Gibraltar,1
13,Calcutta,1
13,Albania,1
13,Putney,1
