city,lat,lon,freq,sent
London,51.5073219,-0.1276474,21,0.1507125
Greece,38.9953683,21.9877132,20,-0.14365999999999998
Parthenon,37.97151355,23.726647550000003,14,-0.21446153846153845
Scarborough,54.2820009,-0.4011868,12,0.049792857142857146
Cambridge,52.2034823,0.1235817,11,-0.0279
Athens,37.9839412,23.7283052,10,0.07098000000000002
the British Museum,51.51929365,-0.12801772178494725,10,-0.06676000000000001
England,52.5310214,-1.2649062,8,0.18670625
Paris,48.8566969,2.3514616,7,-0.01597499999999999
Italy,42.6384261,12.674297,6,-0.06331666666666666
St. Paul's,51.51378715,-0.09845055141832956,6,0.07851666666666667
Hyde Park,51.5074889,-0.16223668308067218,6,-0.06791666666666667
Ireland,52.865196,-7.9794599,5,0.22757999999999998
Dods Hill,55.72013,-2.6678928,4,0.0813
Holborn,51.5195982,-0.1137266,4,0.06014285714285713
Rome,41.8933203,12.4829321,4,0.0
Cornwall,45.0184417,-74.728703,3,0.05532500000000001
America,51.4371483,5.9799001,3,0.4298666666666666
India,22.3511148,78.6677428,3,0.13438
Strand,52.0089065,11.7003344,3,-0.2425
Mudie,28.636819,83.37782037805005,3,0.2294
Marathon,42.8616407,-94.9824889,3,-0.19063333333333332
Serpentine,45.9843361,7.4332688,3,0.23626666666666665
Sheffield,53.3806626,-1.4702278,2,0.13419999999999999
Persia,32.6475314,54.5643516,2,0.0129
Neville's Court,51.5610965,-0.2350489,2,0.11785
Turkey,38.9597594,34.9249653,2,0.0
Gibraltar,36.140807,-5.3541295,2,0.3051333333333333
Albany,42.6511674,-73.754968,2,0.4152
Milan,45.4668,9.1905,2,-0.01003333333333332
Albania,41.000028,19.9999619,2,-0.3604
Fetter Lane,53.9567238,-1.0859269,2,-0.0992
Piccadilly,48.5600453,-58.92036616844662,2,0.10227142857142857
Long Acre,52.8096882,-0.2125275,2,0.1462
Putney,51.4625524,-0.2167462,2,0.07253333333333335
King's College Chapel,52.204779599999995,0.11654403935505439,2,0.19533333333333336
the Opera House,-41.29136475,174.77799025032448,2,0.23233333333333336
Haverstock Hill,51.5461775,-0.1566874,2,0.07655
Shaftesbury Avenue,51.5118082,-0.1324287,2,0.0
Bridge,49.6013889,3.4833333,2,-0.17484285714285713
the Foundling Hospital,51.52579805,-0.12021631329031679,2,-0.3586
Gerrard Street,51.5117787,-0.1311235,2,0.0
the Square of the Constitution,-36.6718897,146.827171,2,0.35336666666666666
